region;type
Краснодарский край;Регионы-локомотивы роста
Красноярский край;Регионы-локомотивы роста
Ленинградская область;Регионы-локомотивы роста
Московская область;Регионы-локомотивы роста
Пермская область;Регионы-локомотивы роста
Республика Башкортостан;Регионы-локомотивы роста
Республика Татарстан;Регионы-локомотивы роста
Свердловская область;Регионы-локомотивы роста
г.Москва;Регионы-локомотивы роста
г.Санкт-Петербург;Регионы-локомотивы роста
Кемеровская область;Опорные регионы Сырьевые
Ненецкий автономный округ;Опорные регионы Сырьевые
Республика Коми;Опорные регионы Сырьевые
Республика Саха (Якутия);Опорные регионы Сырьевые
Сахалинская область;Опорные регионы Сырьевые
Таймырский (Долгано-Ненецкий) автономный округ;Опорные регионы Сырьевые
Тюменская область;Опорные регионы Сырьевые
Ханты-Мансийский автономный округ;Опорные регионы Сырьевые
Ямало-Ненецкий автономный округ;Опорные регионы Сырьевые
Белгородская область;Опорные регионы Старопромышленные
Волгоградская область;Опорные регионы Старопромышленные
Вологодская область;Опорные регионы Старопромышленные
Иркутская область;Опорные регионы Старопромышленные
Липецкая область;Опорные регионы Старопромышленные
Нижегородская область;Опорные регионы Старопромышленные
Новосибирская область;Опорные регионы Старопромышленные
Омская область;Опорные регионы Старопромышленные
Приморский Край;Опорные регионы Старопромышленные
Ростовская область;Опорные регионы Старопромышленные
Самарская область;Опорные регионы Старопромышленные
Томская область;Опорные регионы Старопромышленные
Хабаровский Край;Опорные регионы Старопромышленные
Челябинская область;Опорные регионы Старопромышленные
Ярославская область;Опорные регионы Старопромышленные
Алтайский край;Депрессивные регионы Фоновые
Амурская область;Депрессивные регионы Фоновые
Архангельская область;Депрессивные регионы Фоновые
Астраханская область;Депрессивные регионы Фоновые
Владимирская область;Депрессивные регионы Фоновые
Воронежская область;Депрессивные регионы Фоновые
Еврейская автономная область;Депрессивные регионы Фоновые
Калининградская область;Депрессивные регионы Фоновые
Калужская область;Депрессивные регионы Фоновые
Кировская область;Депрессивные регионы Фоновые
Костромская область;Депрессивные регионы Фоновые
Курская область;Депрессивные регионы Фоновые
Мурманская область;Депрессивные регионы Фоновые
Новгородская область;Депрессивные регионы Фоновые
Оренбургская область;Депрессивные регионы Фоновые
Орловская область;Депрессивные регионы Фоновые
Пензенская область;Депрессивные регионы Фоновые
Псковская область;Депрессивные регионы Фоновые
Республика Бурятия;Депрессивные регионы Фоновые
Республика Марий Эл;Депрессивные регионы Фоновые
Республика Мордовия;Депрессивные регионы Фоновые
Рязанская область;Депрессивные регионы Фоновые
Саратовская область;Депрессивные регионы Фоновые
Смоленская область;Депрессивные регионы Фоновые
Ставропольский край;Депрессивные регионы Фоновые
Тамбовская область;Депрессивные регионы Фоновые
Тверская область;Депрессивные регионы Фоновые
Тульская область;Депрессивные регионы Фоновые
Удмуртская Республика;Депрессивные регионы Фоновые
Читинская область;Депрессивные регионы Фоновые
Чувашская Республика;Депрессивные регионы Фоновые
Чукотский автономный округ;Депрессивные регионы Фоновые
Депрессивные регионы Кризисные;Депрессивные регионы Кризисные
Агинский Бурятский автономный округ;Депрессивные регионы Кризисные
Брянская область;Депрессивные регионы Кризисные
Ивановская область;Депрессивные регионы Кризисные
Кабардино-Балкарская Республика;Депрессивные регионы Кризисные
Камчатская область;Депрессивные регионы Кризисные
Карачаево-Черкесская Республика;Депрессивные регионы Кризисные
Корякский автономный округ;Депрессивные регионы Кризисные
Курганская область;Депрессивные регионы Кризисные
Магаданская область;Депрессивные регионы Кризисные
Республика Адыгея;Депрессивные регионы Кризисные
Республика Алтай;Депрессивные регионы Кризисные
Республика Дагестан;Депрессивные регионы Кризисные
Республика Калмыкия;Депрессивные регионы Кризисные
Республика Карелия;Депрессивные регионы Кризисные
Республика Северная Осетия-Алания;Депрессивные регионы Кризисные
Республика Тыва;Депрессивные регионы Кризисные
Республика Хакасия;Депрессивные регионы Кризисные
Ульяновская область;Депрессивные регионы Кризисные
Усть-Ордынский Бурятский;Депрессивные регионы Кризисные
Эвенкийский автономный округ;Депрессивные регионы Кризисные
Республика Ингушетия;спецтерритории
Чеченская Республика;спецтерритории
