"","id","region_2017"
"1",1,"Республика Адыгея"
"2",100,"Кемеровская область"
"3",10000001,NA
"4",10000004,"Краснодарский край"
"5",10000007,NA
"6",10000009,"Алтайский край"
"7",10000010,"Алтайский край"
"8",10000013,"Алтайский край"
"9",10000014,"Алтайский край"
"10",10000015,"Алтайский край"
"11",10000016,"Алтайский край"
"12",10000017,NA
"13",10000020,"Еврейская автономная область"
"14",10000035,"Астраханская область"
"15",10000037,"Забайкальский край"
"16",10000038,"Иркутская область"
"17",10000039,"Иркутская область"
"18",10000040,NA
"19",10000046,"Республика Башкортостан"
"20",10000047,"Республика Башкортостан"
"21",10000048,"Республика Башкортостан"
"22",10000049,"Республика Башкортостан"
"23",10000050,"Белгородская область"
"24",10000052,"Ставропольский край"
"25",10000053,NA
"26",10000055,"Белгородская область"
"27",10000056,NA
"28",10000064,NA
"29",10000068,"Брянская область"
"30",10000070,NA
"31",10000072,NA
"32",10000074,"Приморский край"
"33",10000075,"Приморский край"
"34",10000080,NA
"35",10000082,"Владимирская область"
"36",10000088,NA
"37",10000090,"Волгоградская область"
"38",10000092,"Волгоградская область"
"39",10000093,"Волгоградская область"
"40",10000097,NA
"41",10000099,"Волгоградская область"
"42",10000104,NA
"43",10000108,"Воронежская область"
"44",10000114,NA
"45",10000116,NA
"46",10000150,"г.Москва"
"47",10000152,NA
"48",10000153,NA
"49",10000154,NA
"50",10000155,NA
"51",10000156,NA
"52",10000157,NA
"53",10000160,"Удмуртская Республика"
"54",10000171,NA
"55",10000172,"Белгородская область"
"56",10000173,"Оренбургская область"
"57",10000174,"Нижегородская область"
"58",10000177,NA
"59",10000182,"Республика Дагестан"
"60",10000185,NA
"61",10000193,"Республика Дагестан"
"62",10000194,"Республика Дагестан"
"63",10000195,"Республика Дагестан"
"64",10000196,NA
"65",10000197,"Республика Дагестан"
"66",10000224,NA
"67",10000226,NA
"68",10000228,NA
"69",10000229,NA
"70",10000230,NA
"71",10000233,"Приморский край"
"72",10000236,"Ростовская область"
"73",10000238,"Ростовская область"
"74",10000239,"Ростовская область"
"75",10000254,"Удмуртская Республика"
"76",10000255,"Удмуртская Республика"
"77",10000256,"Удмуртская Республика"
"78",10000257,"Пермский край"
"79",10000266,"Иркутская область"
"80",10000267,NA
"81",10000272,NA
"82",10000273,"Республика Татарстан"
"83",10000274,"Республика Татарстан"
"84",10000275,NA
"85",10000276,NA
"86",10000279,"Республика Татарстан"
"87",10000280,"Республика Татарстан"
"88",10000281,"Республика Татарстан"
"89",10000284,"Республика Татарстан"
"90",10000285,NA
"91",10000286,"Республика Татарстан"
"92",10000288,"Республика Татарстан"
"93",10000289,NA
"94",10000299,NA
"95",10000305,"Кемеровская область"
"96",10000306,"Кемеровская область"
"97",10000307,"Кемеровская область"
"98",10000308,NA
"99",10000314,NA
"100",10000317,NA
"101",10000318,NA
"102",10000321,NA
"103",10000322,NA
"104",10000323,NA
"105",10000331,"Краснодарский край"
"106",10000332,"Краснодарский край"
"107",10000336,"Краснодарский край"
"108",10000337,"Краснодарский край"
"109",10000338,"Краснодарский край"
"110",10000339,"Краснодарский край"
"111",10000340,NA
"112",10000343,NA
"113",10000346,NA
"114",10000347,NA
"115",10000348,NA
"116",10000349,"Краснодарский край"
"117",10000356,"Кемеровская область"
"118",10000357,"Кемеровская область"
"119",10000358,"Кемеровская область"
"120",10000359,"Кемеровская область"
"121",10000360,"Кемеровская область"
"122",10000361,NA
"123",10000369,NA
"124",10000371,"Республика Башкортостан"
"125",10000374,"Республика Адыгея"
"126",10000376,NA
"127",10000377,NA
"128",10000383,"Республика Мордовия"
"129",10000384,"Республика Мордовия"
"130",10000388,"Вологодская область"
"131",10000389,"Оренбургская область"
"132",10000390,"Кировская область"
"133",10000391,NA
"134",10000392,NA
"135",10000396,"Московская область"
"136",10000397,"Астраханская область"
"137",10000399,"Московская область"
"138",10000400,"Республика Дагестан"
"139",10000401,NA
"140",10000402,"Чувашская Республика"
"141",10000404,"Ставропольский край"
"142",10000426,NA
"143",10000428,NA
"144",10000429,NA
"145",10000430,NA
"146",10000431,NA
"147",10000432,"Челябинская область"
"148",10000433,"Свердловская область"
"149",10000434,"Челябинская область"
"150",10000436,NA
"151",10000437,NA
"152",10000438,NA
"153",10000472,"Московская область"
"154",10000474,NA
"155",10000475,NA
"156",10000476,NA
"157",10000479,"Калужская область"
"158",10000481,"Московская область"
"159",10000487,"Новосибирская область"
"160",10000495,NA
"161",10000496,NA
"162",10000497,NA
"163",10000498,NA
"164",10000499,NA
"165",10000500,NA
"166",10000501,NA
"167",10000502,NA
"168",10000503,NA
"169",10000504,NA
"170",10000508,"Ростовская область"
"171",10000509,"Смоленская область"
"172",10000511,"Республика Башкортостан"
"173",10000514,NA
"174",10000515,"Брянская область"
"175",10000516,NA
"176",10000517,NA
"177",10000519,"Липецкая область"
"178",10000521,"Пензенская область"
"179",10000526,"Московская область"
"180",10000536,NA
"181",10000539,NA
"182",10000540,NA
"183",10000547,NA
"184",10000549,NA
"185",10000550,NA
"186",10000552,NA
"187",10000553,NA
"188",10000554,NA
"189",10000558,"Волгоградская область"
"190",10000565,NA
"191",10000568,"Нижегородская область"
"192",10000569,"Нижегородская область"
"193",10000571,NA
"194",10000572,NA
"195",10000574,"Нижегородская область"
"196",10000575,NA
"197",10000576,"Нижегородская область"
"198",10000577,NA
"199",10000578,"Нижегородская область"
"200",10000579,NA
"201",10000581,NA
"202",10000582,NA
"203",10000590,NA
"204",10000593,NA
"205",10000597,NA
"206",10000598,NA
"207",10000600,"Новосибирская область"
"208",10000618,"Омская область"
"209",10000622,NA
"210",10000623,NA
"211",10000624,NA
"212",10000629,NA
"213",10000631,"Оренбургская область"
"214",10000632,NA
"215",10000633,"Оренбургская область"
"216",10000634,NA
"217",10000635,NA
"218",10000636,"Республика Башкортостан"
"219",10000646,NA
"220",10000647,NA
"221",10000648,NA
"222",10000652,NA
"223",10000653,"Пензенская область"
"224",10000656,NA
"225",10000657,NA
"226",10000658,NA
"227",10000666,"Пермский край"
"228",10000667,"Пермский край"
"229",10000668,"Пермский край"
"230",10000670,NA
"231",10000687,"Псковская область"
"232",10000699,NA
"233",10000705,"Краснодарский край"
"234",10000706,NA
"235",10000708,NA
"236",10000709,NA
"237",10000710,NA
"238",10000711,NA
"239",10000712,"Ставропольский край"
"240",10000714,NA
"241",10000715,NA
"242",10000716,"Ленинградская область"
"243",10000717,NA
"244",10000720,NA
"245",10000721,NA
"246",10000723,NA
"247",10000725,NA
"248",10000726,NA
"249",10000727,NA
"250",10000728,NA
"251",10000729,NA
"252",10000730,NA
"253",10000731,NA
"254",10000732,NA
"255",10000733,"Московская область"
"256",10000734,NA
"257",10000739,NA
"258",10000740,NA
"259",10000741,NA
"260",10000743,"Республика Дагестан"
"261",10000744,"Ленинградская область"
"262",10000745,"Ленинградская область"
"263",10000747,"Кемеровская область"
"264",10000748,"Ханты-Мансийский автономный округ"
"265",10000750,"Омская область"
"266",10000751,NA
"267",10000752,NA
"268",10000754,NA
"269",10000756,NA
"270",10000757,NA
"271",10000758,NA
"272",10000759,NA
"273",10000760,"Московская область"
"274",10000762,NA
"275",10000763,NA
"276",10000766,NA
"277",10000767,NA
"278",10000768,NA
"279",10000769,"Московская область"
"280",10000770,NA
"281",10000771,"Курская область"
"282",10000772,NA
"283",10000773,NA
"284",10000775,NA
"285",10000776,NA
"286",10000777,NA
"287",10000778,NA
"288",10000780,"Московская область"
"289",10000781,NA
"290",10000782,NA
"291",10000783,NA
"292",10000784,NA
"293",10000785,NA
"294",10000786,NA
"295",10000787,NA
"296",10000788,NA
"297",10000789,NA
"298",10000790,NA
"299",10000792,NA
"300",10000793,NA
"301",10000794,NA
"302",10000795,NA
"303",10000796,NA
"304",10000797,NA
"305",10000804,NA
"306",10000806,NA
"307",10000807,NA
"308",10000813,"Оренбургская область"
"309",10000819,"Тульская область"
"310",10000820,"Республика Башкортостан"
"311",10000831,"Оренбургская область"
"312",10000835,NA
"313",10000837,NA
"314",10000838,"Республика Дагестан"
"315",10000839,NA
"316",10000841,NA
"317",10000844,NA
"318",10000845,"г.Москва"
"319",10000856,NA
"320",10000857,"Омская область"
"321",10000858,NA
"322",10000860,NA
"323",10000862,"Краснодарский край"
"324",10000863,NA
"325",10000864,"Пермский край"
"326",10000865,NA
"327",10000866,NA
"328",10000868,"Тульская область"
"329",10000874,NA
"330",10000875,"Ростовская область"
"331",10000876,NA
"332",10000877,"Карачаево-Черкесская Республика"
"333",10000879,NA
"334",10000884,NA
"335",10000886,"Ставропольский край"
"336",10000888,"Республика Дагестан"
"337",10000891,"Ярославская область"
"338",10000897,NA
"339",10000898,NA
"340",10000903,"Самарская область"
"341",10000908,NA
"342",10000909,"Самарская область"
"343",10000912,"Республика Коми"
"344",10000917,NA
"345",10000936,NA
"346",10000937,NA
"347",10000938,"Ленинградская область"
"348",10000950,"Ленинградская область"
"349",10000951,NA
"350",10000980,"Астраханская область"
"351",10000981,"Саратовская область"
"352",10000983,NA
"353",10000984,"Смоленская область"
"354",10000987,NA
"355",10000988,NA
"356",10000989,NA
"357",10000993,NA
"358",10000994,"Саратовская область"
"359",10001034,NA
"360",10001035,"Ставропольский край"
"361",10001036,"Ставропольский край"
"362",10001037,NA
"363",10001038,NA
"364",10001039,NA
"365",10001048,NA
"366",10001050,NA
"367",10001057,NA
"368",10001064,NA
"369",10001067,"Красноярский край"
"370",10001068,"Республика Хакасия"
"371",10001069,NA
"372",10001070,NA
"373",10001074,NA
"374",10001082,"Краснодарский край"
"375",10001083,NA
"376",10001087,NA
"377",10001104,NA
"378",10001105,NA
"379",10001107,NA
"380",10001109,NA
"381",10001110,NA
"382",10001113,"Тверская область"
